Source,Year,Mean
GCAG,1950,-26.56.00
GISTEMP,1950,-0.18.00
GCAG,1949,-9.28.00
GISTEMP,1949,-0.09.00
GCAG,1948,-8.07.00
GISTEMP,1948,-0.09.00
GCAG,1947,-7.57.00
GISTEMP,1947,-0.05.00
GCAG,1946,-0.40.00
GISTEMP,1946,-0.04.00
GCAG,1945,28.30.00
GISTEMP,1945,0.12
GCAG,1944,48.48.00
GISTEMP,1944,0.25
GCAG,1943,26.10.00
GISTEMP,1943,0.13
GCAG,1942,25.38.00
GISTEMP,1942,0.09
GCAG,1941,32.40.00
GISTEMP,1941,0.12
GCAG,1940,15.47
GISTEMP,1940,0.08
GCAG,1939,-2.19.00
GISTEMP,1939,-0.03.00
GCAG,1938,-4.48.00
GISTEMP,1938,-0.03.00
GCAG,1937,-2.37.00
GISTEMP,1937,-0.03.00
GCAG,1936,-18.54.00
GISTEMP,1936,-0.15.00
GCAG,1935,-23.12.00
GISTEMP,1935,-0.2
GCAG,1934,-16.55.00
GISTEMP,1934,-0.14.00
GCAG,1933,-40.39.00
GISTEMP,1933,-0.29.00
GCAG,1932,-19.28.00
GISTEMP,1932,-0.17.00
GCAG,1931,-11.26.00
GISTEMP,1931,-0.09.00
GCAG,1930,-16.43.00
GISTEMP,1930,-0.15.00
GCAG,1929,-49.45.00
GISTEMP,1929,-0.36.00
GCAG,1928,-29.34.00
GISTEMP,1928,-0.21.00
GCAG,1927,-25.46.00
GISTEMP,1927,-0.21.00
GCAG,1926,-11.07.00
GISTEMP,1926,-0.1
GCAG,1925,-24.41.00
GISTEMP,1925,-0.21.00
GCAG,1924,-41.26.00
GISTEMP,1924,-0.28.00
GCAG,1923,-35.56.00
GISTEMP,1923,-0.24.00
GCAG,1922,-38.24.00
GISTEMP,1922,-0.28.00
GCAG,1921,-24.45.00
GISTEMP,1921,-0.21.00
GCAG,1920,-35.05.00
GISTEMP,1920,-0.27.00
GCAG,1919,-34.15.00
GISTEMP,1919,-0.22.00
GCAG,1918,-34.44.00
GISTEMP,1918,-0.26.00
GCAG,1917,-52.26.00
GISTEMP,1917,-0.4
GCAG,1916,-48.50.00
GISTEMP,1916,-0.34.00
GCAG,1915,-11.33.00
GISTEMP,1915,-0.11.00
GCAG,1914,-23.15.00
GISTEMP,1914,-0.16.00
GCAG,1913,-52.42.00
GISTEMP,1913,-0.34.00
GCAG,1912,-54.48.00
GISTEMP,1912,-0.35.00
GCAG,1911,-72.12.00
GISTEMP,1911,-0.44.00
GCAG,1910,-63.09.00
GISTEMP,1910,-0.42.00
GCAG,1909,-71.01.00
GISTEMP,1909,-0.47.00
GCAG,1908,-73.16.00
GISTEMP,1908,-0.43.00
GCAG,1907,-61.46.00
GISTEMP,1907,-0.4
GCAG,1906,-36.14.00
GISTEMP,1906,-0.23.00
GCAG,1905,-48.51.00
GISTEMP,1905,-0.28.00
GCAG,1904,-69.54.00
GISTEMP,1904,-0.44.00
GCAG,1903,-56.09.00
GISTEMP,1903,-0.35.00
GCAG,1902,-41.03.00
GISTEMP,1902,-0.27.00
GCAG,1901,-23.37.00
GISTEMP,1901,-0.15.00
GCAG,1900,-11.19.00
GISTEMP,1900,-0.09.00
GCAG,1899,-19.33.00
GISTEMP,1899,-0.16.00
GCAG,1898,-42.26.00
GISTEMP,1898,-0.28.00
GCAG,1897,-20.24.00
GISTEMP,1897,-0.11.00
GCAG,1896,-16.14.00
GISTEMP,1896,-0.15.00
GCAG,1895,-38.10.00
GISTEMP,1895,-0.21.00
GCAG,1894,-46.48.00
GISTEMP,1894,-0.31.00
GCAG,1893,-53.32.00
GISTEMP,1893,-0.3
GCAG,1892,-51.02.00
GISTEMP,1892,-0.27.00
GCAG,1891,-42.12.00
GISTEMP,1891,-0.24.00
GCAG,1890,-53.40.00
GISTEMP,1890,-0.37.00
GCAG,1889,-16.22.00
GISTEMP,1889,-0.12.00
GCAG,1888,-24.31.00
GISTEMP,1888,-0.2
GCAG,1887,-41.29.00
GISTEMP,1887,-0.33.00
GCAG,1886,-33.23.00
GISTEMP,1886,-0.31.00
GCAG,1885,-35.25.00
GISTEMP,1885,-0.32.00
GCAG,1884,-33.29.00
GISTEMP,1884,-0.28.00
GCAG,1883,-23.44.00
GISTEMP,1883,-0.21.00
GCAG,1882,-10.48.00
GISTEMP,1882,-0.1
GCAG,1881,-10.28.00
GISTEMP,1881,-0.12.00
GCAG,1880,-19.08.00
GISTEMP,1880,-0.2
